CNN,the_geom,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,Nearby_Trees
4761000,"LINESTRING (-122.4361348440344 37.73836719249354, -122.4356138583993 37.73859720054187)",0,DIAMOND ST,17.73,2.95,20.75,28.68,37.12,9.0
4563000,"LINESTRING (-122.42876638552536 37.734767945871305, -122.42874364548946 37.734625580249954)",0,CUVIER ST,100.0,100.0,47.14,47.14,47.14,9.0
4515000,"LINESTRING (-122.48152683291602 37.73520295103078, -122.48223501787166 37.73538665633936, -122.48240596414695 37.73541152928309)",0,CRESTLAKE DR,0.0,0.0,16.27,0.0,0.0,0.0
4520000,"LINESTRING (-122.48597549032704 37.734994364766855, -122.4863223633827 37.73500314271739, -122.48674684290035 37.7350340268727, -122.48770124056493 37.73517245740949, -122.48842584938117 37.73516700075285)",0,CRESTLAKE DR,49.67,15.47,23.68,28.78,32.7,0.0
4522000,"LINESTRING (-122.49027010847617 37.73560633701221, -122.49046067423627 37.73584227476227, -122.49052148591286 37.73602887328581, -122.49055274919252 37.73625159704688, -122.49068626671331 37.736541968574045, -122.49116250874899 37.73715778229703, -122.49121145214833 37.73722106918796, -122.49133489929211 37.7372930231154)",0,CRESTLAKE DR,40.06,7.49,23.45,28.29,33.91,0.0
4490000,"LINESTRING (-122.41809924392813 37.734952015766936, -122.41747882885178 37.73492102035416)",0,CRESCENT AVE,15.56,2.98,20.12,28.91,36.95,29.0
4427000,"LINESTRING (-122.41589947973462 37.739001869689304, -122.4151836270169 37.738932912874375)",25,CORTLAND AVE,4.5,0.0,19.12,27.0,0.0,31.0
4432000,"LINESTRING (-122.41265698574517 37.739311471329586, -122.41199163800968 37.739710009402174)",25,CORTLAND AVE,9.5,1.0,20.7,27.53,32.0,32.0
4436000,"LINESTRING (-122.41050654081938 37.739778789987476, -122.41011472246733 37.739755136147664)",25,CORTLAND AVE,28.5,4.0,22.7,27.79,32.62,14.0
4392000,"LINESTRING (-122.44376167192426 37.75274725193051, -122.44377276521593 37.75264691847283, -122.44371924740022 37.75248886727607, -122.44361010450727 37.75231186054559)",0,CORBETT AVE,43.46,7.09,23.67,28.04,33.38,0.0
4418000,"LINESTRING (-122.42085632970901 37.74022084805126, -122.42027504459323 37.739984557465554)",25,CORTLAND AVE,53.0,12.5,24.8,28.18,32.0,23.0
4337000,"LINESTRING (-122.442027054266 37.73235684033022, -122.44203261784942 37.73302585837976, -122.44200231911174 37.7330979558661)",0,CONGO ST,4.63,0.93,18.45,28.71,35.48,24.0
4360000,"LINESTRING (-122.48842584938117 37.73516700075285, -122.48845828351124 37.735039491521626, -122.48852210051875 37.734860714760636, -122.48857550931581 37.734763677487244)",0,CONSTANSO WAY,15.15,0.43,20.93,27.14,32.0,0.0
4290000,"LINESTRING (-122.40551293561136 37.79706459044631, -122.40622643763088 37.79755881022253)",25,COLUMBUS AVE,29.0,4.5,22.42,27.86,32.56,6.0
4299000,"LINESTRING (-122.41254127823896 37.80193063657357, -122.41290808538045 37.8021837711798)",25,COLUMBUS AVE,71.0,25.5,26.9,29.39,33.67,11.0
4214000,"LINESTRING (-122.43163957927932 37.74902821430418, -122.43385110326406 37.74889597202041)",25,CLIPPER ST,70.0,20.0,26.5,28.54,32.38,5.0
4216000,"LINESTRING (-122.43606717302481 37.74876203523136, -122.43813980389795 37.74863672992858, -122.43824612574964 37.748664500854744)",25,CLIPPER ST,18.6,5.61,29.33,38.99,43.62,7.0
4217000,"LINESTRING (-122.43824612574964 37.748664500854744, -122.44069329943824 37.74863903944002, -122.44140809556642 37.74861001357472, -122.44191670188653 37.74847439111833, -122.44251900874892 37.74818321591593)",35,CLIPPER ST,41.7,10.31,33.79,38.4,42.65,9.0
4186000,"LINESTRING (-122.49665988470115 37.7814772943677, -122.49880133425961 37.78137719207507)",25,CLEMENT ST,92.5,60.0,30.68,31.38,33.75,12.0
4188000,"LINESTRING (-122.49987057073021 37.781327196164206, -122.50094505083086 37.78127694480536)",25,CLEMENT ST,83.5,39.5,28.6,29.9,33.14,12.0
4071000,"LINESTRING (-122.45407763952097 37.75702697685566, -122.4540948849931 37.75693188904034, -122.4541720610169 37.756506875849894, -122.45425044921865 37.75634705653928, -122.45452461704305 37.75596297884459, -122.45482097949542 37.75554652435426, -122.45505238902491 37.75511628894808)",35,CLARENDON AVE,68.5,28.0,36.7,39.64,43.45,0.0
4076000,"LINESTRING (-122.45644843337575 37.75148331313654, -122.45703195497765 37.751401500855344, -122.45898510117608 37.75194603618826, -122.46066796818337 37.75181387231747, -122.461159588507 37.75169349985194, -122.4615236032018 37.751503561063856)",35,CLARENDON AVE,57.5,18.5,35.45,38.91,42.95,0.0
4060000,"LINESTRING (-122.46368599563952 37.74374940984558, -122.46380395890637 37.74292725604838)",0,CLAREMONT BLVD,71.56,23.84,26.57,28.83,32.5,1.0
3875000,"LINESTRING (-122.4392550161055 37.80408109168495, -122.44050703447294 37.80475650486504)",25,CERVANTES BLVD,45.66,8.94,23.49,28.07,32.46,7.0
3671000,"LINESTRING (-122.41873444890209 37.76673948116907, -122.41863361657893 37.7656862335342)",0,CAPP ST,13.48,3.48,16.27,30.28,39.7,13.0
3597000,"LINESTRING (-122.47965091763034 37.784125354904134, -122.48072530654008 37.784076607833406)",25,CALIFORNIA ST,58.5,13.0,25.55,28.2,32.38,6.0
3559000,"LINESTRING (-122.43548556402446 37.78869694019118, -122.43712919541457 37.78848786226459)",25,CALIFORNIA ST,77.5,41.0,28.3,30.13,32.91,2.0
3564000,"LINESTRING (-122.44375326642079 37.78764720994296, -122.44540219819301 37.787438165590856)",25,CALIFORNIA ST,66.0,21.5,26.38,28.89,32.81,1.0
3576000,"LINESTRING (-122.45806191702822 37.78582427846528, -122.45917876636727 37.785681691504344)",25,CALIFORNIA ST,53.0,21.0,25.32,29.41,33.07,1.0
3578000,"LINESTRING (-122.4603082450318 37.78553855506754, -122.46136866439615 37.785403134567105)",25,CALIFORNIA ST,73.5,28.5,27.52,29.65,33.84,7.0
3582000,"LINESTRING (-122.46457215937197 37.78499397284595, -122.46563231184479 37.78485253319135)",25,CALIFORNIA ST,32.9,6.12,22.38,28.73,36.31,1.0
3456000,"LINESTRING (-122.43839388419792 37.786391675502166, -122.44006119950727 37.78617958337138)",30,BUSH ST,12.0,1.0,25.95,32.42,37.0,3.0
3448000,"LINESTRING (-122.42686464320015 37.78786244285891, -122.42852501120417 37.78765056179609)",30,BUSH ST,15.0,3.0,26.15,33.0,37.0,8.0
3365000,"LINESTRING (-122.43930139969066 37.768165524852186, -122.44013746389169 37.767756871786496, -122.44060428862197 37.7669545115229, -122.44193825840289 37.76595284488022, -122.44200945777327 37.76590709371767, -122.44216661052326 37.765887824581824, -122.4423609703688 37.76588462193868, -122.44257524425028 37.765928284255494)",25,BUENA VISTA AVE,47.6,12.77,23.63,28.42,32.27,0.0
3368000,"LINESTRING (-122.44369460369785 37.76695428617768, -122.44376351243737 37.767066558966185, -122.44386581516531 37.76753585213754)",25,BUENA VISTA AVE,25.56,4.9,21.09,28.13,32.91,11.0
3370000,"LINESTRING (-122.44335605500396 37.76894423468451, -122.44316714867887 37.76903664210551, -122.44241097886278 37.76949334300727, -122.44238443965467 37.769599921793855, -122.44250605292247 37.769685989791284, -122.44264684889981 37.769690367371574, -122.44276519419931 37.76966128296591)",25,BUENA VISTA AVE,12.99,2.04,17.29,28.58,37.07,0.0
3362000,"LINESTRING (-122.44035770477673 37.77084743395925, -122.44026260821825 37.77072526152126, -122.43967260681787 37.77054299030804, -122.43946081558913 37.770405837652994, -122.43925429241858 37.77002493004547)",25,BUENA VISTA AVE,41.58,8.55,23.61,28.92,36.32,5.0
3285000,"LINESTRING (-122.39805994016146 37.77956691079729, -122.40029775939792 37.77779901106437)",30,BRYANT ST,42.0,16.0,29.1,34.26,37.94,11.0
